epoch, train_loss, train_acc, val_loss, val_acc, time, LR
84, 0.4679, 83.56%, 0.6384, 81.19%, 59.81s, 0.000232
85, 0.4595, 83.99%, 0.6465, 81.28%, 59.58s, 0.000206
86, 0.4457, 84.40%, 0.6473, 81.56%, 61.31s, 0.000181
87, 0.4384, 84.88%, 0.6406, 81.71%, 63.28s, 0.000158
88, 0.4253, 85.23%, 0.6521, 81.94%, 63.31s, 0.000136
89, 0.4202, 85.39%, 0.6521, 81.85%, 63.12s, 0.000115
90, 0.4136, 85.68%, 0.6567, 81.70%, 63.27s, 0.000095
91, 0.4021, 86.20%, 0.6458, 81.96%, 63.55s, 0.000078
92, 0.4005, 86.24%, 0.6517, 82.06%, 63.62s, 0.000062
93, 0.3906, 86.63%, 0.6559, 82.20%, 63.60s, 0.000048
94, 0.3935, 86.38%, 0.6622, 82.00%, 63.69s, 0.000035
95, 0.3912, 86.45%, 0.6582, 82.25%, 63.98s, 0.000024
96, 0.3820, 86.74%, 0.6602, 82.39%, 63.93s, 0.000016
97, 0.3766, 87.06%, 0.6628, 82.26%, 64.00s, 0.000009
98, 0.3751, 87.05%, 0.6623, 82.34%, 63.99s, 0.000004
99, 0.3787, 86.91%, 0.6626, 82.33%, 63.84s, 0.000001
100, 0.3758, 86.92%, 0.6623, 82.32%, 63.96s, 0.000000
