fold, epoch, train_loss, train_acc, val_loss, val_acc, time, LR
2, 18, 0.3350, 91.39%, 6.5138, 8.98%, 53.31s, 0.000214
2, 19, 0.2581, 93.59%, 6.6456, 8.24%, 53.07s, 0.000205
2, 20, 0.2371, 93.91%, 6.6805, 9.17%, 53.05s, 0.000196
2, 21, 0.1966, 95.19%, 6.7094, 9.07%, 53.22s, 0.000187
2, 22, 0.1602, 96.32%, 6.5773, 9.54%, 53.28s, 0.000178
2, 23, 0.1468, 96.32%, 6.8064, 9.17%, 53.20s, 0.000169
2, 24, 0.1391, 96.88%, 6.8098, 8.98%, 53.30s, 0.000159
2, 25, 0.1314, 97.06%, 6.8808, 9.07%, 53.07s, 0.000150
2, 26, 0.1018, 97.87%, 6.7422, 9.17%, 53.29s, 0.000141
2, 27, 0.0883, 98.01%, 7.0260, 8.43%, 53.33s, 0.000131
2, 28, 0.0934, 97.92%, 7.1131, 8.15%, 53.16s, 0.000122
2, 29, 0.0833, 98.19%, 6.8649, 9.17%, 53.14s, 0.000113
2, 30, 0.0652, 98.68%, 6.9123, 9.26%, 53.16s, 0.000104
2, 31, 0.0609, 98.70%, 6.8005, 9.72%, 53.27s, 0.000095
2, 32, 0.0574, 98.84%, 6.7610, 10.09%, 53.36s, 0.000086
2, 33, 0.0516, 99.07%, 6.8249, 9.91%, 53.04s, 0.000078
2, 34, 0.0490, 99.07%, 6.7991, 9.91%, 53.28s, 0.000070
2, 35, 0.0514, 98.96%, 6.9274, 10.00%, 52.99s, 0.000062
2, 36, 0.0463, 99.05%, 7.0016, 9.44%, 53.25s, 0.000054
2, 37, 0.0508, 98.82%, 6.9168, 9.72%, 53.36s, 0.000047
2, 38, 0.0373, 99.33%, 7.0025, 9.44%, 53.14s, 0.000041
2, 39, 0.0311, 99.42%, 6.9165, 10.19%, 53.60s, 0.000034
2, 40, 0.0370, 99.26%, 6.9367, 9.63%, 53.36s, 0.000029
2, 41, 0.0375, 99.14%, 6.8560, 10.28%, 53.30s, 0.000023
2, 42, 0.0321, 99.35%, 6.9085, 9.81%, 53.15s, 0.000019
2, 43, 0.0316, 99.31%, 6.9486, 10.28%, 53.08s, 0.000014
2, 44, 0.0308, 99.44%, 6.9124, 9.72%, 53.60s, 0.000011
2, 45, 0.0246, 99.49%, 6.8213, 10.28%, 53.15s, 0.000007
2, 46, 0.0270, 99.49%, 6.9211, 10.65%, 53.13s, 0.000005
2, 47, 0.0257, 99.49%, 6.8653, 10.28%, 53.06s, 0.000003
2, 48, 0.0233, 99.56%, 6.8739, 10.00%, 53.19s, 0.000001
2, 49, 0.0210, 99.72%, 6.8564, 11.20%, 53.25s, 0.000000
2, 50, 0.0192, 99.75%, 6.9001, 9.81%, 53.09s, 0.000000
3, 1, 4.4230, 4.75%, 5.8710, 0.00%, 53.34s, 0.000300
3, 2, 4.0620, 7.25%, 5.5240, 0.00%, 53.19s, 0.000299
3, 3, 3.8275, 10.23%, 5.5783, 0.09%, 53.56s, 0.000297
3, 4, 3.6454, 14.10%, 5.6445, 0.00%, 53.23s, 0.000295
3, 5, 3.4403, 16.92%, 5.2754, 0.37%, 53.19s, 0.000293
3, 6, 3.2291, 21.25%, 5.6148, 1.30%, 53.45s, 0.000289
3, 7, 2.9591, 25.58%, 5.3547, 2.13%, 53.45s, 0.000286
3, 8, 2.7068, 32.69%, 5.5002, 1.94%, 53.53s, 0.000281
3, 9, 2.4362, 37.82%, 5.4108, 2.31%, 53.33s, 0.000277
3, 10, 2.0982, 44.44%, 5.5674, 5.37%, 53.37s, 0.000271
3, 11, 1.7808, 52.89%, 5.9468, 4.72%, 53.18s, 0.000266
3, 12, 1.4214, 62.27%, 5.9726, 6.11%, 53.40s, 0.000259
3, 13, 1.1524, 69.00%, 6.2664, 5.37%, 53.59s, 0.000253
3, 14, 0.8796, 76.37%, 6.0105, 7.59%, 53.28s, 0.000246
3, 15, 0.6825, 82.08%, 6.6573, 6.39%, 53.54s, 0.000238
3, 16, 0.5399, 86.27%, 6.4879, 6.94%, 53.24s, 0.000230
3, 17, 0.4660, 88.22%, 6.4820, 8.24%, 53.50s, 0.000222
3, 18, 0.3316, 91.41%, 6.4308, 7.78%, 53.42s, 0.000214
3, 19, 0.2993, 92.73%, 6.7155, 7.41%, 53.48s, 0.000205
3, 20, 0.2363, 94.31%, 6.8101, 6.85%, 53.61s, 0.000196
3, 21, 0.2037, 95.19%, 6.5300, 8.24%, 53.55s, 0.000187
3, 22, 0.1876, 95.86%, 6.7465, 7.41%, 53.26s, 0.000178
3, 23, 0.1546, 96.64%, 6.7032, 7.59%, 53.41s, 0.000169
3, 24, 0.1331, 97.04%, 6.8694, 7.50%, 53.63s, 0.000159
3, 25, 0.1213, 97.41%, 6.9601, 7.13%, 53.40s, 0.000150
3, 26, 0.1045, 97.78%, 6.7093, 7.31%, 53.42s, 0.000141
3, 27, 0.0974, 98.01%, 6.7815, 7.59%, 53.30s, 0.000131
3, 28, 0.0780, 98.43%, 6.9375, 7.78%, 53.45s, 0.000122
3, 29, 0.0845, 98.06%, 6.9072, 7.78%, 53.52s, 0.000113
3, 30, 0.0742, 98.59%, 6.9338, 8.24%, 53.51s, 0.000104
3, 31, 0.0717, 98.56%, 6.9233, 9.17%, 53.56s, 0.000095
3, 32, 0.0576, 98.77%, 6.8423, 9.35%, 53.28s, 0.000086
3, 33, 0.0546, 99.00%, 6.9272, 8.80%, 53.26s, 0.000078
3, 34, 0.0485, 99.10%, 6.9737, 8.33%, 53.37s, 0.000070
3, 35, 0.0503, 98.89%, 6.9638, 7.96%, 53.46s, 0.000062
3, 36, 0.0466, 99.03%, 7.1928, 8.06%, 53.57s, 0.000054
3, 37, 0.0425, 99.12%, 7.0631, 7.96%, 53.43s, 0.000047
3, 38, 0.0386, 99.19%, 6.9038, 9.44%, 53.46s, 0.000041
3, 39, 0.0339, 99.33%, 6.8621, 8.80%, 53.41s, 0.000034
3, 40, 0.0326, 99.51%, 6.8997, 10.19%, 53.58s, 0.000029
3, 41, 0.0274, 99.51%, 6.8013, 9.63%, 53.28s, 0.000023
3, 42, 0.0310, 99.31%, 6.9863, 8.70%, 53.38s, 0.000019
3, 43, 0.0268, 99.47%, 7.0438, 8.33%, 53.51s, 0.000014
3, 44, 0.0275, 99.49%, 6.9197, 9.17%, 53.36s, 0.000011
3, 45, 0.0223, 99.72%, 6.9760, 8.89%, 53.47s, 0.000007
3, 46, 0.0252, 99.54%, 6.9475, 8.80%, 53.40s, 0.000005
3, 47, 0.0256, 99.58%, 6.9096, 9.35%, 53.23s, 0.000003
3, 48, 0.0237, 99.65%, 6.9706, 9.17%, 53.46s, 0.000001
3, 49, 0.0209, 99.75%, 6.9370, 9.17%, 53.46s, 0.000000
3, 50, 0.0230, 99.47%, 6.9338, 9.26%, 53.31s, 0.000000
4, 1, 4.4331, 4.56%, 5.6186, 0.00%, 52.87s, 0.000300
4, 2, 4.0197, 8.22%, 5.3891, 0.28%, 53.11s, 0.000299
4, 3, 3.8434, 10.74%, 5.4861, 0.28%, 53.12s, 0.000297
4, 4, 3.6306, 13.61%, 5.5805, 0.00%, 52.98s, 0.000295
4, 5, 3.4047, 17.96%, 5.4114, 0.37%, 53.42s, 0.000293
4, 6, 3.1930, 22.41%, 5.4411, 0.93%, 54.96s, 0.000289
4, 7, 2.9223, 27.62%, 5.3423, 1.20%, 56.80s, 0.000286
4, 8, 2.6065, 33.98%, 5.2576, 2.78%, 57.03s, 0.000281
4, 9, 2.3062, 41.06%, 5.2440, 5.46%, 52.38s, 0.000277
4, 10, 1.9535, 49.03%, 5.4050, 5.37%, 52.22s, 0.000271
4, 11, 1.6299, 57.06%, 5.7348, 6.94%, 52.89s, 0.000266
4, 12, 1.2822, 65.46%, 5.9465, 5.56%, 52.12s, 0.000259
4, 13, 0.9919, 73.59%, 6.3023, 5.00%, 52.17s, 0.000253
4, 14, 0.7824, 79.65%, 6.2517, 6.02%, 52.29s, 0.000246
4, 15, 0.6219, 84.03%, 6.3663, 5.83%, 52.39s, 0.000238
4, 16, 0.4620, 88.22%, 6.4614, 5.83%, 52.67s, 0.000230
