fold, epoch, train_loss, train_acc, val_loss, val_acc, time, LR
2, 18, 0.8224, 77.99%, 5.7848, 10.19%, 53.28s, 0.000214
2, 19, 0.6482, 82.62%, 6.0919, 11.94%, 53.07s, 0.000205
2, 20, 0.5377, 85.76%, 5.8080, 12.13%, 53.12s, 0.000196
2, 21, 0.4375, 88.68%, 6.0458, 10.19%, 50.26s, 0.000187
2, 22, 0.3478, 91.41%, 6.0037, 11.11%, 48.26s, 0.000178
2, 23, 0.3338, 91.67%, 6.1265, 10.93%, 48.38s, 0.000169
2, 24, 0.2986, 92.85%, 6.1692, 10.93%, 48.37s, 0.000159
2, 25, 0.2670, 93.54%, 6.1829, 11.39%, 48.35s, 0.000150
2, 26, 0.2256, 94.40%, 6.2006, 12.04%, 48.79s, 0.000141
2, 27, 0.2092, 95.09%, 6.1690, 12.59%, 48.37s, 0.000131
2, 28, 0.1835, 95.62%, 6.2327, 11.11%, 48.56s, 0.000122
2, 29, 0.1665, 96.41%, 6.2767, 11.94%, 48.27s, 0.000113
2, 30, 0.1670, 96.18%, 6.3782, 11.30%, 48.61s, 0.000104
2, 31, 0.1314, 97.20%, 6.3134, 11.94%, 48.34s, 0.000095
2, 32, 0.1285, 97.04%, 6.3708, 12.41%, 48.63s, 0.000086
2, 33, 0.1154, 97.45%, 6.4377, 12.31%, 48.38s, 0.000078
2, 34, 0.1108, 97.55%, 6.3121, 12.50%, 48.35s, 0.000070
2, 35, 0.0954, 97.85%, 6.3532, 13.24%, 48.84s, 0.000062
2, 36, 0.0910, 97.82%, 6.4186, 10.65%, 47.65s, 0.000054
2, 37, 0.0842, 98.10%, 6.2149, 11.94%, 47.67s, 0.000047
2, 38, 0.0836, 98.31%, 6.3787, 11.85%, 47.58s, 0.000041
2, 39, 0.0691, 98.43%, 6.3668, 11.85%, 47.84s, 0.000034
2, 40, 0.0622, 98.66%, 6.5164, 11.39%, 47.94s, 0.000029
2, 41, 0.0732, 98.45%, 6.4519, 12.31%, 48.05s, 0.000023
2, 42, 0.0658, 98.43%, 6.3837, 13.43%, 48.30s, 0.000019
2, 43, 0.0625, 98.61%, 6.4536, 12.31%, 48.21s, 0.000014
2, 44, 0.0586, 98.73%, 6.4874, 12.69%, 48.47s, 0.000011
2, 45, 0.0562, 98.70%, 6.4492, 11.94%, 48.40s, 0.000007
2, 46, 0.0546, 98.77%, 6.4531, 13.61%, 48.39s, 0.000005
2, 47, 0.0567, 98.82%, 6.4566, 12.96%, 48.32s, 0.000003
2, 48, 0.0508, 98.94%, 6.4950, 12.69%, 48.23s, 0.000001
2, 49, 0.0456, 99.17%, 6.3979, 13.52%, 48.14s, 0.000000
2, 50, 0.0432, 99.17%, 6.4561, 12.04%, 48.25s, 0.000000
3, 1, 4.4603, 3.75%, 5.7872, 0.00%, 49.12s, 0.000300
3, 2, 3.9927, 8.45%, 5.5550, 0.00%, 48.76s, 0.000299
3, 3, 3.7995, 10.51%, 5.3118, 0.00%, 48.16s, 0.000297
3, 4, 3.5744, 14.93%, 5.3671, 0.46%, 48.06s, 0.000295
3, 5, 3.4017, 17.55%, 5.4076, 0.74%, 49.05s, 0.000293
3, 6, 3.2380, 20.56%, 5.3543, 0.74%, 48.50s, 0.000289
3, 7, 3.0491, 24.58%, 5.2756, 0.93%, 47.96s, 0.000286
3, 8, 2.9009, 27.22%, 5.5183, 0.65%, 48.30s, 0.000281
3, 9, 2.6947, 31.94%, 5.1317, 2.78%, 47.86s, 0.000277
3, 10, 2.4998, 35.42%, 5.1376, 2.69%, 48.12s, 0.000271
3, 11, 2.2818, 40.65%, 5.3176, 3.24%, 48.33s, 0.000266
3, 12, 2.0760, 44.65%, 5.2573, 5.28%, 48.33s, 0.000259
3, 13, 1.8709, 50.86%, 5.4394, 6.57%, 48.49s, 0.000253
3, 14, 1.5847, 57.27%, 5.7773, 4.81%, 48.60s, 0.000246
3, 15, 1.3158, 64.12%, 5.7370, 9.54%, 48.46s, 0.000238
3, 16, 1.1095, 69.17%, 5.7465, 8.80%, 48.62s, 0.000230
3, 17, 0.9553, 73.08%, 5.8790, 7.69%, 48.42s, 0.000222
3, 18, 0.7477, 80.02%, 6.1615, 7.59%, 48.33s, 0.000214
3, 19, 0.6522, 83.08%, 6.0277, 9.07%, 48.07s, 0.000205
3, 20, 0.4991, 87.04%, 6.0133, 7.96%, 47.97s, 0.000196
3, 21, 0.4379, 89.12%, 6.1716, 9.26%, 48.04s, 0.000187
3, 22, 0.3826, 89.93%, 6.1086, 9.81%, 48.10s, 0.000178
3, 23, 0.3382, 91.37%, 6.3245, 8.24%, 48.39s, 0.000169
3, 24, 0.2568, 93.94%, 6.2040, 10.56%, 48.44s, 0.000159
3, 25, 0.2442, 94.07%, 6.4499, 8.52%, 48.53s, 0.000150
3, 26, 0.2093, 95.02%, 6.2315, 9.07%, 48.54s, 0.000141
3, 27, 0.1959, 95.37%, 6.3288, 8.43%, 48.47s, 0.000131
3, 28, 0.1870, 95.60%, 6.3382, 10.19%, 48.58s, 0.000122
3, 29, 0.1729, 95.81%, 6.4077, 9.44%, 48.73s, 0.000113
3, 30, 0.1464, 96.62%, 6.4525, 10.46%, 48.46s, 0.000104
3, 31, 0.1345, 96.97%, 6.3888, 10.37%, 48.52s, 0.000095
3, 32, 0.1077, 97.59%, 6.3936, 11.48%, 48.46s, 0.000086
3, 33, 0.1093, 97.31%, 6.4914, 9.81%, 48.35s, 0.000078
3, 34, 0.1086, 97.34%, 6.4255, 10.74%, 48.38s, 0.000070
3, 35, 0.0967, 97.78%, 6.5549, 10.09%, 48.52s, 0.000062
3, 36, 0.0849, 98.06%, 6.4557, 11.39%, 48.46s, 0.000054
3, 37, 0.0807, 98.17%, 6.4747, 10.74%, 48.35s, 0.000047
3, 38, 0.0711, 98.54%, 6.4587, 11.02%, 48.35s, 0.000041
3, 39, 0.0681, 98.61%, 6.5324, 10.28%, 48.63s, 0.000034
3, 40, 0.0764, 98.36%, 6.4322, 11.02%, 48.82s, 0.000029
3, 41, 0.0642, 98.56%, 6.5448, 9.81%, 48.38s, 0.000023
3, 42, 0.0672, 98.52%, 6.5249, 9.81%, 49.14s, 0.000019
3, 43, 0.0754, 98.22%, 6.5243, 10.83%, 48.46s, 0.000014
3, 44, 0.0560, 98.89%, 6.4551, 11.02%, 48.66s, 0.000011
3, 45, 0.0529, 98.80%, 6.4643, 10.93%, 48.46s, 0.000007
3, 46, 0.0565, 98.70%, 6.5340, 9.91%, 48.60s, 0.000005
3, 47, 0.0458, 99.05%, 6.4711, 10.74%, 48.56s, 0.000003
3, 48, 0.0553, 98.87%, 6.5165, 11.02%, 49.46s, 0.000001
3, 49, 0.0479, 99.00%, 6.4905, 10.93%, 48.23s, 0.000000
3, 50, 0.0513, 98.94%, 6.4601, 10.46%, 48.54s, 0.000000
4, 1, 4.4875, 4.05%, 5.5554, 0.00%, 48.20s, 0.000300
4, 2, 4.0258, 8.84%, 5.5855, 0.19%, 48.17s, 0.000299
4, 3, 3.7880, 11.09%, 5.2302, 0.83%, 48.25s, 0.000297
4, 4, 3.5468, 15.05%, 5.5229, 0.09%, 48.16s, 0.000295
4, 5, 3.3399, 19.38%, 5.0339, 2.50%, 48.42s, 0.000293
4, 6, 3.1274, 22.94%, 5.0527, 4.26%, 48.14s, 0.000289
4, 7, 2.9662, 26.32%, 5.3502, 2.87%, 48.07s, 0.000286
4, 8, 2.7339, 30.86%, 5.1308, 3.52%, 48.17s, 0.000281
4, 9, 2.5564, 34.33%, 5.4625, 2.31%, 48.15s, 0.000277
4, 10, 2.2992, 39.61%, 5.3592, 5.56%, 48.16s, 0.000271
