epoch, train_loss, train_acc, val_loss, val_acc, time, LR
84, 0.3537, 87.90%, 0.7379, 80.75%, 68.68s, 0.000232
85, 0.3482, 88.10%, 0.7318, 80.90%, 76.80s, 0.000206
86, 0.3342, 88.56%, 0.7364, 80.90%, 73.39s, 0.000181
87, 0.3312, 88.69%, 0.7254, 81.49%, 67.57s, 0.000158
88, 0.3182, 89.15%, 0.7507, 81.35%, 70.39s, 0.000136
89, 0.3232, 88.96%, 0.7282, 81.80%, 66.95s, 0.000115
90, 0.3164, 89.29%, 0.7381, 82.08%, 66.15s, 0.000095
91, 0.3115, 89.50%, 0.7473, 81.65%, 66.37s, 0.000078
92, 0.3027, 89.66%, 0.7312, 81.69%, 66.34s, 0.000062
93, 0.3036, 89.66%, 0.7358, 82.06%, 66.41s, 0.000048
94, 0.2931, 89.97%, 0.7366, 82.06%, 66.38s, 0.000035
95, 0.2975, 89.97%, 0.7313, 82.16%, 66.35s, 0.000024
96, 0.2845, 90.38%, 0.7499, 81.96%, 66.18s, 0.000016
97, 0.2903, 90.11%, 0.7454, 81.89%, 66.58s, 0.000009
98, 0.2901, 90.26%, 0.7399, 82.14%, 66.17s, 0.000004
99, 0.2877, 90.28%, 0.7403, 82.12%, 66.34s, 0.000001
100, 0.2882, 90.36%, 0.7401, 82.08%, 66.38s, 0.000000
